proveedor ,dependencia ,numero de expediente,hechos de irregularidad,objeto social ,sentido de resolucion,fecha de notificacion ,fecha de resolucion ,plazo ,monto ,nombre responsable de la informacion ,fecha de actualizacion ,
3R INNOVACIîN Y DISE„O  S.A. DE  C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0041/2013","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO.","	3RINNOVACION@LIVE.COM.MX.","	SANCIONATORIA CON MULTA","	19/08/2014","	06/08/2014","	","	90664.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
INTEGRA SERVICIOS  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0250/2009","	46  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>OMITIî FORMALIZAR EL CONTRATO TESE-027-05  PARA LOS SERVICIOS DE JARDINERêA Y MANTENIMIENTO DE OFICINAS DEL TECNOLîGICO DE ESTUDIOS SUPERIORES DE ECATEPEC  QUE LE FUE ADJUDICADO AL PARTICIPAR EN LA LICITACIîN PòBLICA NACIONAL 44120001-001-05  CONVOCADA POR EL INSTITUTO TECNOLîGICO DE ESTUDIOS SUPERIORES DE ECATEPEC.","	SERVICIOS DE JARDINERIA Y MANTENIMIENTO","	SANCIONATORIA CON MULTA","	24/11/2009","	24/11/2009","	","	70200.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INTEGRA SERVICIOS  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0251/2009","	46  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>OMITIî FORMALIZAR EL CONTRATO TESE-028-05  PARA LOS SERVICIOS DE JARDINERêA Y MANTENIMIENTO DE OFICINAS DEL TECNOLîGICO DE ESTUDIOS SUPERIORES DE ECATEPEC  QUE LE FUE ADJUDICADO AL PARTICIPAR EN LA LICITACIîN PòBLICA NACIONAL 44120001-002-05  CONVOCADA POR EL INSTITUTO TECNOLîGICO DE ESTUDIOS SUPERIORES DE ECATEPEC.","	PRESTACIîN DE LOS SERVICIOS DE JARDINERêA Y MANTENIMIENTO DE OFICINAS DEL TECNOLîGICO DE ESTUDIOS SUPERIORES DE ECATEPEC (TESE)  ASê COMO LA LIMPIEZA DE LAS MISMAS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	27/11/2009","	24/11/2009","	3 MESES","	70200.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INTEGRACION DE SISTEMAS DIANAWARE  S.A DE C.V,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0069/2008","	LA EMPRESA NO FORMALIZO EL CONTRATO NO. D75125","	COMPRAVENTA  RENTA  IMPORTACION  EXPORTACION  INSTALACION  SERVICIO Y REPARACION DE EQUIPOS DEL RAMO DE LA INFORMATICA  ELECTRONICA  TELEFONICA  TELECOMUNICACIONES  MOBILIARIO Y EQUIPO DE OFICINA Y TODO LO CONEXO  ANEXO Y CORRELATIVO AL OBJETO SOCIAL","	SANCIONATORIA CON MULTA","	07/07/2011","	28/06/2011","	","	75855.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
INTEGRACIîN DE SOLUCIONES DE INGENIERêA Y TELECOMUNICACIONES  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0340/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	PROYECTO  SUMINISTRO  INSTALACIîN  MANTENIMIENTO  ADMINISTRACIîN DE INFRAESTRUCTURA DE INFORMçTICA Y TELECOMUNICACIONES EN PLATAFORMAS DE CîMPUTO Y DE INGENIERêA ELECTROMECçNICA.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	12/12/2006","	11/12/2006","	3 MESES","	75438.50","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
INTEGRACIîN Y DESARROLLO ARIES  S.A. DE C.V.,"	COMISION NACIONAL BANCARIA Y DE VALORES","	0015/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	CONSTRUCCIîN Y MANTENIMIENTO EN GENERAL DE BIENES MUEBLES E INMUEBLES","	SANCIONATORIA CON MULTA E INHABILITACIîN","	10/11/2006","	30/10/2006","	3 MESES","	70200.00","	SANDRA ANEL VILLANUEVA LEAL","	06/12/2018 08:12",
INTEGRACIîN Y DESARROLLO ARIES  S.A. DE C.V.,"	COMISION NACIONAL BANCARIA Y DE VALORES","	0016/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	CONSTRUCCIîN Y REMODELACIîN DE BIENES MUEBLES E INMUEBLES","	SANCIONATORIA CON MULTA E INHABILITACIîN","	10/11/2006","	30/10/2006","	3 MESES","	68138.00","	SANDRA ANEL VILLANUEVA LEAL","	06/12/2018 08:12",
INTELYTI  S.A. DE C.V.,"	SECRETARIA DE ECONOMIA","	0002/2015","	LA EMPRESA INTELYTI S.A. DE C.V.  RESULTî ADJUDICADA DE LA PARTIDA òNICA DEL PROCEDIMIENTO DE CONTRATACIîN DE INVITACIîN A CUANDO MENOS TRES PERSONAS DE CARACTER NACIONAL MIXTA  CON NUMERO DE COMPRANET IA-010000999-N268-2014 PARA EL SERVICIO DE CONTRATACIîN DE TRADUCCIîN SIMPLE DE DOCUMENTOS RELACIONADOS CON LA NORMALIZACIîN Y NORMAS INTERNACIONALES QUE SE ENCUENTRAN EN IDIOMA INGLƒS O FRANCES AL IDIOMA ESPA„OL; SIN EMBARGO AL MOMENTO DE LA FORMALIZACIîN DEL CONTRATO  LOS INSTRUMENTOS NOTARIALES QUE PRESENTî  NO CONTENêA DENTRO DE SU OBJETO SOCIAL  LA TRADUCCIîN DE DOCUMENTOS.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	18/02/2016","	05/02/2016","	3 MESES","	100935.00","	MIGUEL MANUEL RAMIREZ MANDUJANO","	06/12/2018 08:12",
INTER KLIN  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0002/2014","	60  FRACCIîN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO.  <br>PROPORCIONAR INFORMACIîN FALSA Y ACTUAR CON DOLO DURANTE EL PROCEDIMIENTO DE CONTRATACIîN.","	SERVICIO PROFESIONAL DE LIMPIEZA DE INMUEBLES  MUEBLES DE TIPO RESIDENCIAL  INDUSTRIAL  DE SERVICIOS Y COMERCIAL  INCLUYENDO HOSPITALES  LABORATORIOS  UNIDADES MƒDICAS Y DENTALES  EDIFICIOS  TALLERES E INSTALACIONES Y ESTABLECIMIENTOS EN GENERAL.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/11/2015","	23/11/2015","	2 A„OS","	803024.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INTER KLIN S.A. DE C.V.,"	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","	0006/2015","	PRESUNTA FALSEDAD EN LA DOCUMENTACIîN PRESENTADA EN LA ETAPA DE PROPORSICIONES DEL PROCEDIMIENTO DE LICITACIîN","	SERVICIO  DE LIMPIEZA INTREGRAL","	SANCIONATORIA CON MULTA E INHABILITACIîN","	01/04/2016","	22/03/2016","	3 A„OS 3 MESES","	1412515.00","	JUANA PADILLA TAPIA","	06/12/2018 08:12",
INTERACTIVOS PARA LABORATORIO  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0398/2008","	LA EMPRESA INCURRIO EN FALSEDAD AL MANIFESTAR NO ENCONTRARSE EN ALGUNO DE LOS SUPUESTOS SE„ALADOS EN EL ARTICULO 50 DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PUBLICO.","	COMPRA  VENTA DE MATERIAL PARA LABORATORIO","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/05/2011","	09/05/2011","	1 A„O","	313534.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
INTERGENERIC  S.A  DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0022/2014","	RESCISIîN ADMINISTRATIVA DE CONTRATOS CELEBRADOS EN DOS DEPENDENCIAS DIFERENTES EN UN LAPSO DE TRES A„OS. <br>ART. 60  FRACCIîN II  DE LA LAASSP","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	13/11/2017","	13/11/2017","	12 MESES","	362656.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
INTERGENERIC S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0023/2013","	LA EMPRESA INCUMPLIî CON SUS OBLIGACIONES CONTRACTUALES  AL NO ENTREGAR LOS BIENES PACTADOS EN EL CONTRATO NO. U110776","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	14/06/2016","	31/05/2016","	2 A„OS 3 MESES","	869503.50","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
INTERNACIONAL DE CADENAS  S.A. DE C.V.,"	PEMEX EXPLORACIîN Y PRODUCCION","	0364/2005","	HABER PROPORCIONADO EN LA PROPUESTA TECNICA DOCUMENTACION PRESUMIBLEMENTE  FALSA","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	27/04/2010","	26/04/2010","	1 A„O","	280800.00","	","	06/12/2018 08:12",
INTERNACIONAL MUDANCERA MEXICANA  S.A. DE C.V.,"	PROCURADURIA GENERAL DE LA REPòBLICA","	0002/2009","	HABER ACTUADO CON DOLO Y MALA FE EN UN PROCEDIMIENTO LICITATORIO Y EN LA PRESENTACION DE UNA INCONFORMIDAD ASê COMO HABER VULNERADO LA CARTA DE INTEGRIDAD SOLICITADA EN LAS BASES CONCURSALES","	SERVICIO DE FLETES  MUDANZAS Y MANIOBRAS ADICIONALES","	SANCIONATORIA CON MULTA E INHABILITACIîN","	14/07/2009","	07/07/2009","	3 MESES","	82200.00","	BERTIN VAZQUEZ GONZALEZ","	06/12/2018 08:12",
INTERNATIONAL METALS DE MƒXICO  S.A. DE C.V.,"	SECRETARIA DE LA DEFENSA NACIONAL","	0009/2017","	LA DIR. GRAL. IND. MIL. INFORMî LA PRESUNTA INFRACCIîN POR PARTE DE LA EMPRESA INTERNATIONAL METALS DE MƒXICO  S.A. DE C.V.  LA CUAL NO ENTREGî 30 PIEZAS DE PLACA DE ACERO AISI 1075 3.4 MM. X 1 200MM (CAL. 10) LAMINADA EN FRêO Y 193 KGS. DE FLEJE DE ACERO ASTM 1008-DS A (CAL. 20X35 MM.) LAMINADO EN FRêO CON UN COSTO DE $ 131 331.72 (CIENTO TREINTA Y UN MIL TRESCIENTOS TREINTA Y UN PESOS 72/100 M.N.)  CONTRATADOS EN EL PEDIOD DE ADQUISICIîN P07-000131/2016.","	FABRICACIîN D OTROS PRODUCTOS METçLICOS-  COMISIONES  REPRESENTACIONES  COMPRA  VENTA  MAQUILA  IMPORTACIONES  EXPORTACIONES Y COMERCIO EN GENERAL DE TODA CLASE DE BIENES Y ARTêCULOS INDUSTRIALES Y COMERCIALES.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	24/04/2017","	12/04/2017","	1 A„O","	226696.00","	JORGE DAVID LEBOREIRO AMADOR","	06/12/2018 08:12",
INTERNATIONAL SERVICES DOLPTHINGS  S..A DE C.V.,"	PEMEX GAS Y PETROQUIMICA BASICA","	0016/2012","	PRESENTî DICTAMENES FALSOS EN EL PROCEDIMIENTO LICITATORIO.","	REPARACIîN Y MANTENIMIENTO DE MAQUINARIA Y EQUIPO INDUSTRIAL.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	18/09/2012","	07/09/2012","	8 MESES","	236907.58","	","	06/12/2018 08:12",
INTERNATIONAL SERVICES DOLPTHINGS  S.A. DE C.V.,"	PEMEX GAS Y PETROQUIMICA BASICA","	0012/2012","	PRESENTî DICTAMENES FINANCIEROS FALSOS EN EL PROCEDIMIENTO DE LICITACIîN PòBLICA NACIONAL 18577010-019-10","	LA REALIZACIîN DE TODA CLASE DE CONSTRUCCIONES","	SANCIONATORIA CON MULTA E INHABILITACIîN","	18/09/2012","	11/09/2012","	8 MESES","	229265.40","	","	06/12/2018 08:12",
INTERNATIONAL SHOP KAISER  S.A. DE C.V.,"	SECRETARIA DE LA DEFENSA NACIONAL","	0023/2015","	SE INICIO PROCEDIMIENTO EN CONTRA DE LA EMPRESA INTERNATIONAL SHOP KçISER  S.A. DE C.V.   EN VIRTUD DEL FINIQUITO DERIVADO DE LA RESCISIîN ADMTVA. DEL PEDIDO DE ADQUISICIîN NO. P07-000458/2014  PARA LA ADQUISICIîN DE DIVERSAS BATERêAS RECARGABLES Y DE LITIO POR UN MONTO CON IVA DE 17 434.80 M.N.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	30/09/2016","	12/08/2016","	1 A„O","	100935.00","	JORGE DAVID LEBOREIRO AMADOR","	06/12/2018 08:12",
INTERNATIONAL SHOP KAISER  S.A. DE C.V.,"	SECRETARIA DE LA DEFENSA NACIONAL","	0024/2015","	SE INICIO PROCEDIMIENTO EN CONTRA DE LA EMPRESA INTERNATIONAL SHOP KçISER  S.A. DE C.V.   EN VIRTUD DEL FINIQUITO DERIVADO DE LA RESCISIîN ADMTVA. DEL PEDIDO DE ADQUISICIîN NO. 07-000146/2014  PARA LA ADQUISICIîN DE MATERIALES Y ARTICULOS DE CONTRUCCION Y REPARACION.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	30/09/2016","	22/08/2016","	1 A„O","	104299.50","	JORGE DAVID LEBOREIRO AMADOR","	06/12/2018 08:12",
INTERNATIONAL SHOP KAISER  S.A. DE C.V.,"	SECRETARIA DE LA DEFENSA NACIONAL","	0025/2015","	SOBRE EL FINIQUITO DERIVADO DE LA RESICION ADMTVA. DEL PEDIDO DE ADQUISICIîN NO. A022-00021/2014  PARA LA ADQUISICIîN DE SERVIMOTOR MARCA YASKAWA MODELO SGMJV-04AAA6C  CONFORME A LA FICHA ESPECIFICACIONES TƒCNICAS TET-UA13-MEE-0049 00 10/SEP/2012  POR UN MONTO CON IVA DE $114 933.96  CELEBRADO CON LA EMPRESA INTENATIONAL SHOP KçISER  S.A.DE C.V. Y DE LAS CONSTANCIAS QUE OBRAN EN LOS EXPEDIENTES RESPECTIVOS DE CADA PEDIDO  SE INFIERE QUE LA EMPRESA ANTES MENCIONADA IMCUMPLIO CON LA ENTREGA DE LOS BIENES SOLICITADOS POR ESTA SECRETARêA DE ESTADO.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	30/09/2016","	12/09/2016","	1 A„O","	104299.50","	JORGE DAVID LEBOREIRO AMADOR","	06/12/2018 08:12",
INTERNATIONAL SHOP KAISER  S.A. DE C.V.,"	SECRETARIA DE LA DEFENSA NACIONAL","	0029/2015","	SE REFIERE QUE LA EMPRESA INTERNATIONAL SHOP KAISER  S.A. DE C.V. INCUMPLIO CON AL ENTREGA DE LOS BIENES SOLICITADOS POR LA SECRETARIA DE LA DEFENSA NACIONAL DENTRO DEL PEDIDO DE ADQUICISION NO. 07-0000125/2014.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	30/09/2016","	19/09/2016","	1 A„O","	100935.00","	JORGE DAVID LEBOREIRO AMADOR","	06/12/2018 08:12",
INTRAPROC DE MEXCIO  S.A. DE C.V.,"	PETROLEOS MEXICANOS CORPORATIVO","	0010/2013","	LA ADJUDICADA NO ACREDITî DOCUMENTALMENTE  EN TIEMPO Y FORMA   EL REPORTE DE SU ESTADO FISCAL AL CORRIENTE ANTE EL SAT  PREVIO A LA FIRMA DEL CONTRATO ANTE LA CONVOCANTE.","	COMPRAVENTA  REPRESENTACIîN  IMPORTACIîN  EXPORTACIîN Y DESARROLLO DE TODO TIPO DE SISTEMAS DE COMPUTACIîN E IDENTIFICACIîN APLICADA A TODA ACTIVIDAD COMERCIAL  INDUSTRAIL Y MERCANTIL  COMPRAVENTA  REPRESENTACIîN  IMPORTACIîN Y EXPORTACIîN DE TODO TIPO DE MATERIALES DE CUALQUIER CLASE RELACIONADA CON SISTEMAS DE COMPUTACIîN. SERVICIO  IMPORTACIîN  EXPORTACIîN  ALMACENAMIENTO  ENSAMBLAJE  DISTRIBUCIîN  COMPRAR  VENDER Y ARRENDAMIENTO Y DESARROLLO DE TODO TIPO DE SISTEMAS DE COMPUTACIîN Y LOS DE SEGURIDAD E IDENTIFICACIîN RELACIONADOS CON EL OBJETO PRINCIPAL DE LA EMPRESA; REALIZACIîN DE TODA CLASE DE ACTOS CIVILES Y MERCANTILES Y CUALESQUIER OTROS PERMITIDOS PARA LOS FINES DE LA EMPRESA; COMPRAVENTA DE BIENES MUEBLES E INMUEBLES QUE SIRVAN PARA EL BUEN DESARROLLO DEL OBJETO SOCIAL; LA REPRESENTACIîN DE OTRAS COMPA„êAS EN EL CONTINENTE AMERICANO; Y LA INSTALACIîN  ENSAMBLAJE  DESINSTALACIîN  ASESORIA DE LA COMPUTACIîN E IDENTIFICACIîN EN GENERAL.","	SANCIONATORIA CON MULTA","	02/10/2013","	23/09/2013","	","	93495.00","	","	06/12/2018 08:12",
IRINEO FILIO TORRES,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0368/2008","	INCURRIO EN FALSEDAD AL PRESENTAR ESCRITO BAJO PROTESTA DE DECIR VERDAD DE ENCONTRARSE AL CORRIENTE EN LOS PAGOS DE LAS CUOTAS OBRERO PATRONAL. CONTRATO NO. S70096  <br>CONTRATO NO. S70096","	SERVICIO DE PROTECCION Y CUSTODIA MEDIANTE EL MONITOREO DE SISTEMAS DE SEGURIDAD","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/04/2011","	08/04/2011","	1 A„O","	78383.50","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
IRMA JARAMILLO RANGEL,"	PEMEX GAS Y PETROQUIMICA BASICA","	0070/2008","	CREî LAS CONDICIONES NECESARIAS PARA DOCUMENTAR Y BENEFICIARSE CON EL FALLO RESULTANTE DEL PORCESO CONCURSAL A TRAVƒS DE LA PORBABLE MANIPULACIîN DE LAS OFERTAS.","	ELABORACIîN DE CARROCERêAS","	SANCIONATORIA CON MULTA E INHABILITACIîN","	28/01/2009","	22/01/2009","	9 MESES","	226315.50","	","	06/12/2018 08:12",
IRON TECH  S.A. DE C.V.,"	SECRETARIA DE SALUD","	0004/2008","	NO FORMALIZî EL CONTRATO 2008-12-LPN-48-A QUE LE FUE ADJUDICADO POR CAUSAS IMPUTABLES A LA EMPRESA","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	01/09/2008","	08/08/2008","	3 MESES","	76255.50","	","	06/12/2018 08:12",
IRVING YADIR AGUILAR GONZALEZ,"	SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES","	0003/2009","	POSTERIOR A QUE RESULTO ADJUDUCADO  DE LAS PARTIDAS 4 Y 9 DE LA LICITACIîN DE MƒRITO  EL ADJUDICADO BAJO EL ARGUMENTO DE QUE POR SITUACIONES CIRCUNSTANCIALES RENUNCIABA A LAS REFERIDAS PARTIDAS.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/11/2009","	30/10/2009","	3 MESES","	78885.00","	LUZ MARIA GARCIA RANGEL","	06/12/2018 08:12",
ISABEL HERNçNDEZ VEGA,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0605/2007","	NO FORMALIZO EL CONTRATO NO. D65090","	PRODUCCION  PROCESAMIENTO Y COMERCIALIZACION DE ALIMENTOS ELABORADOS Y NO ELABORADOS","	SANCIONATORIA CON MULTA","	28/05/2010","	14/05/2010","	","	73005.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ISMAEL SILVA CASTELLOT,"	COMISION FEDERAL DE ELECTRICIDAD","	0079/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	30/06/2006","	29/06/2006","	3 MESES","	72540.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
ISP SIGLO XXI  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0023/2011","	LA EMPRESA PROPORCIONî ANTE LA CONVOCANTE INFORMACIîN FALSA","	COMPRAR  VENDER  DISTRIBUIR  FABRICAR  IMPORTAR  EXPORTAR  CONSIGNAR Y MAQUILAR TODA CLASE DE PRODUCTOS Y SERVICIOS DE TODAS LAS ACTIVIDADES COMERCIALES E INDUSTRIALES ETC.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	17/10/2013","	30/09/2013","	3 MESES","	89063.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
IVçN CARMONA MAURY,"	COMISION NACIONAL DEL AGUA","	0044/2007","	LA PERSONA FISICA IVAN CARMONA MAURY.  ENTREGO LOS REPORTES NO. 98654  98652  98649  PRESUNTAMENTE EMITIDOS POR LA EMPRESA INTERTEK TESTING SERVICES DE MEXICO  S.A DE CV.  (LABORATORIO CERTIFICADO) SIENDO QUE DICHA ENPRESA COMUNICO QUE SON FALSIFICADOS  YA QUE SUFRIERON ALTERACIONES EN SU CONTENIDO  FIRMA Y PAPELERIA.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/04/2008","	28/03/2008","	1 A„O 2 MESES","	391917.50","	LIC. MIGUEL ANGEL LARA GARCIA","	06/12/2018 08:12",
IVçN SALVADO JIMƒNEZ CASTILLO,"	COMISION FEDERAL DE ELECTRICIDAD","	0023/2014","	NO FORMALIZî EL CONTRATO ADJUDICADO","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	16/02/2015","	16/02/2015","	3 MESES","	104299.50","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
J.A. DIAZ Y CIA  S.A. DE C.V.,"	PEMEX EXPLORACIîN Y PRODUCCION","	0015/2013","	RESCISIîN ADMINISTRATIVA DE CONTRATO  ARTêCULO 59 FRACCIîN II.   <br>EL ASUNTO ESTUVO SUSPENDIDO 3 A„OS 4 MESES.","	OTRO DOMICILIO: TORRE PRIVANZA NO. 193  3ER PISO  LADO MELCHOR OCAMPO  COLONIA VERONICA ANZURES  DELEGACIîN MIGUEL HIDALGO.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/07/2018","	28/06/2018","	1 A„O","	1.00","	","	06/12/2018 08:12",
J.M.G. SERVICIOS  S.A. DE C.V.,"	PEMEX GAS Y PETROQUIMICA BASICA","	0006/2015","	PRESUNTAMENTE PROPORCIONî INFORMACIîN FALSA EN UN PROCEDIMIENTO DE CONTRATACIîN.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	17/05/2016","	04/05/2016","	3 MESES","	100935.00","	","	06/12/2018 08:12",
J.P. CONSTRUCCIîN  ELECTRIFICACIîN  REMODELACIîN Y SUPERVISIîN  DE OBRA  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0056/2011","	LA EMPRESA PROPORCIONî INFORMACIîN FALSA  EN LOS PROCEDIMIENTOS DE CONTRTACIîN EN  LOS QUE PARTICIPî  AL DECLARAR  BAJO PROTESTA DE DECIR VERDAD QUE NO SE ENCONTRABA EN LOS SUPUESTOS DEL ARTêCULO 51 DE LA LOPSRM.","	CONSTRUCCIîN Y REHABILITACIîN DE OBRA PòBLICA  Y PRIVADA  OBRA CIOVIL  DE INFRAESTRUCTURA  TERRESTRES  MARITIMAS  PETROLERAS  INDUSTRIALES  DE COMUNICACIîN  ETC.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	12/03/2014","	11/03/2014","	1 A„O","	315540.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
JAGP  S.A. DE C.V.,"	PEMEX GAS Y PETROQUIMICA BASICA","	0016/2009","	LA EMPRESA PRESENTî PARA LA FORMALIZACIîN DEL CONTRATO PîLIZAS DE GARANTêA FALSAS","	MANTENIMIENTO PREVENTIVO Y CORRECTIVO A PARQUE VEHICULAR DE MANIOBRAS Y CARGA PESADA.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	01/12/2009","	01/12/2009","	1 A„O","	303420.00","	","	06/12/2018 08:12",
JAGP S.A. DE C.V. Y JOSƒ LUIS DOMINGUEZ çVILA.,"	PEMEX GAS Y PETROQUIMICA BASICA","	0015/2009","	LA EMPRESA PRESENTî PARA LA FORMALIZACIîN DEL CONTRATO PîLIZAS DE GARANTêA FALSAS.","	MANTENIMIENTO PREVENTIVO Y CORRECTIVO A PARQUE VEHICULAR DE MANIOBRAS Y CARGA PESADA.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	02/12/2009","	01/12/2009","	1 A„O","	326058.00","	","	06/12/2018 08:12",
JAIME ESTEBAN GONZçLEZ HERNçNDEZ,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0025/2008","	PROPORCIONO INFORMACION FALSA AL MANIFESTAR BAJO PROTESTA DE DECIR VERDAD DE CUMPLIR CON LAS NORMAS OFICIALES NOM-068-SCFI-2000 Y NOM-002 SEMARNAT-1996","	MANTENIMIENTO  REPARACION Y CONSTRUCCION DE VEHICULOS CON MOTOR A GASOLINA  DIESEL Y MAQUINARIA PESADA","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/04/2011","	11/04/2011","	1 A„O","	78383.50","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
JALFERMA S.A. DE C.V.,"	CONSEJO NACIONAL DE FOMENTO EDUCATIVO","	0001/2015","	LA EMPRESA JALFERMA S.A. DE C.V. NO PRESENTî LA DOCUMENTACIîN REQUERIDA EN EL NUMERAL 6.4 PEDIDO PARA LA FORMALIZACION DEL MISMO","	","	SANCIONATORIA CON MULTA","	02/08/2017","	02/08/2017","	","	91796.00","	HORACIO  REYES  VALDEZ","	06/12/2018 08:12",
JASE INTERNACIONAL DE COMERCIO  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0154/2007","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D60622","	IMPORTACION  EXPORTACION  PROMOCION  VENTA  DISTRIBUCION  COMERCIALIZACION  COMISION  CONSIGNACION Y REPRESENTACION DE TODA CLASE DE BIENES Y MATERIALES NECESARIOS PARA LA PRESTACION  Y DESARROLLO DE SERVICIOS HOSPITALARIOS","	SANCIONATORIA CON MULTA","	13/10/2010","	30/09/2010","	","	15087.70","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
JAVIER HERNËNDEZ FLORES JAVIER HERNçNDEZ,"	BANCO NACIONAL DE CREDITO RURAL  S.N.C.","	0002/2006","	HABER MANIFESTADO BAJO PROTESTA DE DECIR VERDAD ENCONTRARSE AL CORRIENTE EN EL CUMPLIMIENTO DE SUS OBLIGACIONES FISCALES  SIENDO DICHA MANIFESTACIîN FALSA","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	27/07/2006","	25/07/2006","	3 MESES","	72540.00","	VICTOR MANUEL MUCI„O GARCIA","	06/12/2018 08:12",
